id,issuer_id,name
10091-2024-ORS002,10091,ORS002 - individual - 10091
63474-2024-ORS001,63474,ORS001 - individual - 63474
77969-2024-ORS002,77969,ORS002 - individual - 77969
77969-2024-ORS001,77969,ORS001 - individual - 77969
39424-2024-ORS003,39424,ORS003 - individual - 39424
39424-2024-ORS004,39424,ORS004 - individual - 39424
71287-2024-ORS001,71287,ORS001 - individual - 71287
56707-2024-ORS003,56707,ORS003 - individual - 56707
56707-2024-ORS002,56707,ORS002 - individual - 56707
56707-2024-ORS001,56707,ORS001 - individual - 56707
